CMPD_CHEMBLID,CANONICAL_SMILES,pKi
CHEMBL230981,[O-][n+]1ccccc1CC[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)NCC(=O)NCc3cccc(Cl)c3,5
CHEMBL340577,COc1ccc(cc1)n2nnnc2C(=O)Nc3ccc(cc3)c4ccccc4S(=O)(=O)N,5
CHEMBL62509,C[C@@H]1CC[C@@H](CC1)Oc2cccc(c2O)c3nc4cc(C(=N)N)c(F)cc4[nH]3,5
CHEMBL316311,CCSCC1(CC(=NO1)c2cccc(c2)C(=N)N)C(=O)Nc3ncc(cn3)c4ccccc4S(=O)(=O)N,5
CHEMBL64096,Cc1ccc(C(=O)Nc2ccc(cc2)C(=N)N)c(O)c1,5
CHEMBL281715,O=C(CNS(=O)(=O)c1ccccc1)N[C@H](CCNc2ccncc2)C(=O)N3CCCCC3,5
CHEMBL158814,NC(=N)c1ccc(CNC(=O)CNC(=O)[C@@H](CO)NS(=O)(=O)CC2CCCCC2)cc1,5
CHEMBL199211,CCOc1cc(OC2CCN(C)CC2)cc(c1)C(Nc3ccc(cc3)C(=N)N)C(=O)O,5.004364805
CHEMBL40373,Cc1cc(NS(=O)(=O)c2ccccc2)cc(OCCCCCN)c1,5.004364805
CHEMBL461191,CCOC(=O)C(C(=O)Nc1ccc2N(C)C(=O)C(OCc3ccc(cc3)C(=N)N)Oc2c1)c4ccccc4,5.004803708
CHEMBL466585,COc1ccc(cc1)c2cccc(c2)S(=O)(=O)NC(Cc3cccc(CN)c3)C(=O)N4CCC(CCN)CC4,5.008773924
CHEMBL332983,COc1ccc(Oc2ccc(cc2)C(C)NC(=O)CNC(=O)Nc3ccc(cc3)C(=N)N)cc1,5.008773924
CHEMBL3114853,CCOc1cc(ccc1OC(C)C)C(Nc2ccc3c(N)nccc3c2)C(=O)NCc4cccc(NS(=O)(=O)N)c4,5.022276395
CHEMBL264760,NC(=N)c1ccc(NC(=O)c2ccc(Cl)cc2O)cc1,5.022276395
CHEMBL198844,NC(=N)c1ccc(NC(C(=O)O)c2cc(O[C@H]3CCOC3)cc(c2)C#C)cc1,5.022276395
CHEMBL2016873,NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3cn(Cc4cccc(Cn5cc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)nn5)c4)nn3)cc1,5.022733788
CHEMBL2431602,CCOc1cc(ccc1OC(C)C)[C@@H](Nc2ccc3c(N)nccc3c2)C(=O)NS(=O)(=O)c4cccc(c4)S(=O)(=O)N,5.026872146
CHEMBL236752,COc1ccc(cc1)n2nc(N)c3CCN(C(=O)c23)c4ccc(cc4)c5ccccc5CN6CC[C@@H](O)C6,5.026872146
CHEMBL379960,CC(C)c1cc(C(C)C)c(c(c1)C(C)C)S(=O)(=O)N[C@@H](Cc2cccc(c2)C(=N)N)C(=O)N3CCN(CC3)C(=O)CCCN,5.026872146
CHEMBL2431614,CCOc1cc(ccc1OC(C)C)C(Nc2ccc3cnccc3c2)C(=O)NS(=O)(=O)c4ccccc4S(=O)(=O)CC,5.026872146
CHEMBL267438,NC(=O)NCC1(CC(=NO1)c2ccc(Cl)c(N)c2)C(=O)Nc3ccc(cn3)c4ccccc4S(=O)(=O)N,5.031517051
CHEMBL91654,NC(=N)c1ccc(cc1)N2CCCCN(C2=O)c3cccc(c3)C(=N)N,5.031517051
CHEMBL151201,COc1ccc(c(CN)c1)n2nc(cc2C(=O)Nc3ccc(cc3)c4ccccc4S(=O)(=O)C)C(F)(F)F,5.040958608
CHEMBL122854,CC(NC(=O)CNC(=O)Nc1ccc(cc1)C(=N)N)c2ccc(Oc3ccccc3)cc2,5.040958608
CHEMBL552783,C[N+](C)(C)c1ccc(CNC(=O)c2cc3c(O)cccc3n2Cc4cccc(c4)C(=N)N)cc1,5.041436117
CHEMBL181849,CC(C)N1CCC(CC1)NC(=O)c2cc3ccccc3n2Cc4cc5ccc(Cl)cc5s4,5.04383157
CHEMBL293657,CCOc1cccc(c1O)c2cc3cc(ccc3[nH]2)C(=N)N,5.045757491
CHEMBL81887,Oc1ccc2c(Cc3ccc(OCCN4CCCC4)nc3)c(sc2c1)c5ccc(OCCN6CCCC6)cc5,5.045757491
