id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,pKi
CHEMBL230981,12.88248169,-3.891090563,12.88248169,0.024047446,0.242713604,531.034,503.818,530.1390686,190,0,0.239164321,-0.618501926,0.618501926,0.239164321,0.944444444,1.666666667,2.388888889,1.617404698,1288.371772,25.96804456,19.39310549,20.96553101,17.21514717,11.21538786,13.24561756,8.096021827,10.28633076,5.23311804,6.825222857,3.445708258,5.031590415,-3.47,76562015.92,27.1230702,13.0089412,8.953291055,214.679693,15.84083023,6.041840829,11.89077157,21.83765061,0,0,9.589074368,13.13989185,4.730407642,0,60.13187644,29.68045874,30.12094548,12.29761001,22.73727899,33.4385905,0,15.35567207,0,31.18109409,6.544756406,106.0439657,0,0,20.08607971,0,0,11.60093989,32.81875368,38.33079716,5.207253025,23.2416526,78.99324839,5.022633314,0,0,131.31,27.87949144,23.21412438,0,31.68400966,21.01042044,5.563451492,6.196843572,72.79640482,0,15.35567207,11.60093989,0,2.047344457,0,0,0,0,0,0,25.53994652,66.77382013,0.24,36,3,9,0,0,0,2,1,3,5,3,11,12,0,0,0,3,1.8268,136.0209,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5
CHEMBL340577,12.73797091,-3.878514477,12.73797091,0.00109803,0.458580541,450.48,432.336,450.1110241,162,0,0.295045105,-0.496765866,0.496765866,0.295045105,1,1.6875,2.34375,1.557342089,1366.187489,22.7169677,16.83564933,17.65214591,15.36352321,9.330561392,10.87688087,6.68496403,8.214808973,4.636951199,5.605997816,3.099373519,3.860037308,-4.09,21633942.07,21.15384033,8.571048216,4.333488706,183.2416026,10.05365156,5.749511833,0,15.84769565,5.907179729,0,4.794537184,13.55677072,4.681802935,5.098681808,30.33183534,58.45479116,11.25083777,17.69266729,17.94919712,21.61785716,0,20.20725493,5.138973738,4.895483476,12.42658615,78.62080932,0,22.56380109,15.1926253,5.687386275,5.749511833,0,41.64202919,10.02329115,0,10.61894168,77.6918883,0,16.81428926,0,142.09,15.93047088,13.21233417,0,10.71988797,28.25118737,0,10.74817,73.83983529,0,20.8422406,9.875836691,0,-3.878514477,0,0,0,0,0,0,25.00742832,61.12108615,0.047619048,32,3,10,0,0,0,3,1,4,8,2,11,6,0,0,0,4,2.2376,116.9104,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5
CHEMBL62509,14.07541083,-0.594414054,14.07541083,0.001497387,0.398038238,382.439,359.255,382.1805042,146,0,0.168360918,-0.503747831,0.503747831,0.168360918,1.285714286,2.035714286,2.75,1.663684454,1038.306773,19.83613434,15.62786923,15.62786923,13.41872399,9.447365075,9.447365075,7.500336754,7.500336754,5.371509818,5.371509818,3.69979645,3.69979645,-3.09,2830280.138,18.28155809,7.144871671,3.395726259,161.6112321,20.56103635,17.47724512,11.49902367,0,0,0,5.409283606,9.374393569,0,0,12.99010427,49.80029374,6.066367068,28.26427081,14.2338054,16.86902122,5.409283606,9.967957042,11.65157352,38.71099008,0,41.71250768,0,22.88687966,10.47053043,4.390415048,11.49902367,0,27.01407061,0,17.14441049,38.17047518,30.33183534,0,22.42125742,0,108.01,5.817220841,9.496942443,0,23.2525495,28.17076926,31.60119254,12.13273414,18.19910121,0,16.89169424,15.87981404,0,0,0,0,0,0,0,0,14.07541083,53.59125584,0.333333333,28,5,6,1,0,1,2,1,3,4,4,7,4,1,0,1,4,4.31617,106.2166,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
CHEMBL316311,13.38235998,-3.950153418,13.38235998,0.026238192,0.235461244,539.643,514.443,539.1409443,192,0,0.274581185,-0.383681827,0.383681827,0.274581185,1.162162162,1.891891892,2.567567568,1.543428357,1476.422738,26.63118127,19.8406541,21.47364726,17.62597743,11.16106049,13.8620805,8.22259124,11.02670988,5.625300618,7.673032513,3.730446509,5.310828465,-3.81,183761709.7,26.25862854,10.66383518,5.789075544,217.8219021,10.57125606,5.835619786,0,21.57268125,5.907179729,0,15.52060939,23.52472776,11.76188495,0,48.47765234,17.88558774,46.82116834,10.60716848,18.04992275,45.1879999,5.409283606,9.967957042,16.02835394,23.84109311,16.82249582,72.05152667,0,11.12690298,16.18942982,5.948339281,0,11.76188495,52.94699657,19.65541692,5.409283606,24.47146181,70.97581989,0,11.12690298,0,186.5,21.53152169,13.21233417,0,23.10026417,33.71834458,5.752853607,30.22193916,36.39820241,12.99010427,20.44045837,21.1195134,0,-2.420986783,0,0,0,0,0,0,23.85116996,73.06981682,0.208333333,37,6,11,0,1,1,2,1,3,9,4,13,9,0,0,0,4,2.33007,142.898,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5
CHEMBL64096,12.0269646,-0.390671296,12.0269646,0.028652263,0.5075908,269.304,254.184,269.1164267,102,0,0.258916035,-0.507111093,0.507111093,0.258916035,1.2,1.85,2.4,2.166229417,663.3188855,14.69830613,10.97426404,10.97426404,9.469234251,6.025807154,6.025807154,4.465752931,4.465752931,2.851633059,2.851633059,1.765231539,1.765231539,-2.82,28545.43086,13.60794158,5.439798037,2.947488734,116.1141834,16.15698348,11.58513162,0,0,5.907179729,0,10.20382079,0,0,0,6.066367068,48.8853911,11.25083777,5.563451492,9.901064579,17.43018579,5.409283606,0,5.733667477,6.9237372,5.316788604,59.15492395,0,5.749511833,11.05045608,5.687386275,5.749511833,0,16.84932691,0,12.33302081,21.48489166,42.46456948,0,0,0,99.2,5.907179729,9.901064579,0,17.14858311,11.25083777,5.563451492,6.066367068,36.39820241,6.9237372,5.316788604,11.14295108,0,0,0,0,0,0,0,0,0,52.16666667,0.066666667,20,5,5,0,0,0,2,0,2,3,4,5,3,0,0,0,2,2.23699,78.2551,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
CHEMBL281715,13.03355702,-3.809277533,13.03355702,0.078975943,0.493428925,459.572,430.34,459.1940254,172,0,0.244715351,-0.384862084,0.384862084,0.244715351,1,1.6875,2.375,1.583319492,979.8954718,22.81334402,17.86602558,18.68252217,15.45432693,10.72324929,12.20641254,7.594989899,9.36194313,5.219759777,6.636905139,3.51157005,4.514790805,-2.98,15907402.84,23.67827625,11.58581859,7.027793963,188.2099177,15.53348694,6.041840829,0,21.83765061,0,0,14.57305289,13.13989185,0,0,18.19910121,49.94875477,37.71534264,11.44023988,18.00687135,27.52503689,0,19.92277172,0,36.6206108,31.49581423,54.85825662,0,0,15.35567207,5.687386275,0,0,62.33691115,19.61236552,0,25.68328649,59.7537401,0,0,0,120.5,28.51706812,18.00687135,0,10.8026632,26.05509084,24.94985114,12.13273414,35.49269808,12.13273414,20.33965059,0,0,-3.809277533,0,0,0,0,0,0,24.70229949,58.52364471,0.409090909,32,3,9,0,1,1,1,1,2,6,3,10,10,0,1,1,3,1.3594,121.3359,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5
CHEMBL158814,12.33346214,-3.727451653,12.33346214,0.049907257,0.195592755,453.565,422.317,453.2045901,172,0,0.2404815,-0.394162135,0.394162135,0.2404815,1.129032258,1.774193548,2.35483871,1.763010782,866.451677,22.85516038,17.39386796,18.21036454,14.69750908,10.285208,11.93747323,7.743594007,9.542125353,5.178542065,6.732413332,3.458559852,5.123786628,-2.5,5065984.393,24.76659006,11.77373876,8.637543775,182.0876437,21.47377208,11.87746061,0,21.83765061,0,0,14.99835797,13.13989185,0,0,43.52793314,24.32300078,12.1082079,18.90449198,23.11339875,27.6732704,5.409283606,15.35567207,11.65157352,44.69070535,18.90449198,35.39237126,0,0,21.08933955,0,0,0,56.12063643,26.15712193,11.32718965,43.2310111,24.26546827,0,0,0,174.47,34.48637341,23.11339875,0,30.59589225,5.563451492,37.66755961,0,24.26546827,0,15.35567207,11.14295108,0,-3.727451653,0,0,0,0,0,0,24.66692429,62.97719403,0.55,31,7,10,1,0,1,1,0,1,6,6,11,11,1,0,1,2,-0.43633,116.6858,0,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
CHEMBL199211,12.08227593,-1.018949916,12.08227593,0.040326698,0.35909062,426.517,396.277,426.2267054,166,0,0.33033302,-0.493734086,0.493734086,0.33033302,1.225806452,1.870967742,2.451612903,1.840984924,908.2925325,22.38010441,17.92820866,17.92820866,14.85057565,10.42174767,10.42174767,7.697862391,7.697862391,5.268905949,5.268905949,3.573975685,3.573975685,-3.26,7430632.724,22.42576848,10.16889115,6.113753786,182.0148133,30.53061911,23.43860984,6.041840829,0,0,5.969305288,5.409283606,4.794537184,0,0,0,68.77470633,30.40671765,6.606881965,19.37479049,17.49231135,5.409283606,4.899909731,5.733667477,31.91118766,32.06085536,53.59147246,0,11.49902367,20.52418199,5.687386275,11.49902367,0,54.65939535,4.794537184,5.409283606,36.93412426,42.46456948,0,0,0,120.9,12.01114612,9.901064579,0,11.93958617,34.92019489,25.93115606,0,36.39820241,12.99010427,17.26437032,20.61667699,0,0,0,0,0,0,0,0,0,73.33333333,0.391304348,31,5,8,0,1,1,2,0,2,6,4,8,9,0,1,1,3,3.08017,120.2156,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.004364805
CHEMBL40373,12.39269385,-3.598805817,12.39269385,0.232184298,0.681333356,348.468,324.276,348.1507636,130,0,0.261391137,-0.493510216,0.493510216,0.261391137,1.041666667,1.791666667,2.5,2.052997717,746.1141194,17.41600279,13.86467949,14.68117607,11.50916848,8.035363604,9.518526852,5.651088775,7.333491016,3.473776169,4.870975135,2.317115124,3.37855843,-2.05,212617.1901,18.29098946,8.704594022,5.543238175,143.442224,10.47053043,5.749511833,0,0,10.02329115,0,4.722094864,8.417796984,0,0,18.19910121,62.55987824,6.066367068,17.18975171,13.15465994,15.71067743,0,0,5.733667477,31.08168554,17.87373323,54.09438804,0,5.749511833,15.1926253,5.687386275,5.749511833,0,21.56943535,10.02329115,6.9237372,24.82591636,53.42642002,0,0,0,81.42,10.02329115,8.417796984,0,4.895483476,24.58853648,24.82591636,0,42.46456948,12.99010427,4.722094864,10.47053043,0,-3.598805817,0,0,0,0,0,0,24.7853877,35.89675145,0.333333333,24,3,5,0,0,0,2,0,2,4,2,6,9,0,0,0,2,3.30362,96.8299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,5.004364805
CHEMBL461191,13.14049687,-1.205986704,13.14049687,0.040063079,0.171492166,516.554,488.33,516.2008846,196,0,0.322548793,-0.465138851,0.465138851,0.322548793,1.105263158,1.815789474,2.473684211,1.4891683,1343.209643,27.23347556,20.97117094,20.97117094,18.278096,11.93792323,11.93792323,8.536135145,8.536135145,5.938628042,5.938628042,3.943685385,3.943685385,-4.7,286646994.9,26.36550099,11.56878686,5.814587958,219.3493211,30.16095467,11.58513162,5.917906046,5.907179729,12.19720646,5.969305288,19.79289516,0,0,0,54.59730362,30.18337432,24.36487682,18.9011502,28.59420041,34.99405708,5.409283606,0,5.733667477,25.73855194,23.87125228,89.4867593,0,5.749511833,20.68722877,11.37477255,5.749511833,0,43.56386521,30.46421942,5.409283606,29.53199772,72.79640482,0,0,0,144.04,24.08441779,14.38361155,0,24.95656344,28.25118737,5.563451492,4.899909731,86.767814,0,5.316788604,25.35353994,0,0,0,0,0,0,0,0,0,95.33333333,0.214285714,38,4,10,0,1,1,3,0,3,7,3,10,9,0,0,0,4,3.15417,140.9608,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,2,1,2,0,0,0,0,3,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.004803708
